2025-01-04 00:05:03.841 +03:00 [INF] [Error] HTTP POST - 500: Error Message - No sign-in authentication handlers are registered. Did you forget to call AddAuthentication().AddCookie("Identity.Application",...)? (in 752.0162 ms.)
2025-01-04 00:10:15.727 +03:00 [INF] [Error] HTTP POST - 500: Error Message - No sign-in authentication handlers are registered. Did you forget to call AddAuthentication().AddCookie("Identity.Application",...)? (in 956.639 ms.)
2025-01-04 00:12:41.589 +03:00 [INF] [Error] HTTP POST - 500: Error Message - No sign-in authentication handlers are registered. Did you forget to call AddAuthentication().AddCookie("Identity.Application",...)? (in 383.4566 ms.)
2025-01-04 00:12:45.784 +03:00 [INF] [Error] HTTP POST - 500: Error Message - No sign-in authentication handlers are registered. Did you forget to call AddAuthentication().AddCookie("Identity.Application",...)? (in 383.4188 ms.)
2025-01-04 00:13:25.041 +03:00 [INF] [Error] HTTP POST - 500: Error Message - No sign-in authentication handlers are registered. Did you forget to call AddAuthentication().AddCookie("Identity.Application",...)? (in 589.9342 ms.)
2025-01-04 00:14:07.930 +03:00 [INF] Response Message: Başarıyla giriş yapıldı., ErrorMessage: No error message
2025-01-04 00:14:21.223 +03:00 [INF] Response Message: Başarıyla giriş yapıldı., ErrorMessage: No error message
2025-01-04 00:14:21.475 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 00:14:21.494 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 00:14:49.184 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 00:14:49.218 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 00:14:51.173 +03:00 [INF] Response Message: 1 numaralı kurs başarıyla getirildi., ErrorMessage: No error message
2025-01-04 00:14:51.184 +03:00 [INF] Response Message: 1 numaralı kurs başarıyla getirildi., ErrorMessage: No error message
2025-01-04 00:17:28.258 +03:00 [INF] Response Message: No message, ErrorMessage: ["Sipariş oluşturulamadı. Geçersiz kullanıcı ID."]
2025-01-04 00:17:28.729 +03:00 [INF] [Error] HTTP POST - 500: Error Message - An error occurred while saving the entity changes. See the inner exception for details. (in 2134.5117 ms.)
2025-01-04 00:18:52.969 +03:00 [INF] [Error] HTTP POST - 500: Error Message - An error occurred while saving the entity changes. See the inner exception for details. (in 70508.8058 ms.)
2025-01-04 00:22:22.729 +03:00 [INF] Response Message: 1 numaralı kurs başarıyla getirildi., ErrorMessage: No error message
2025-01-04 00:22:22.741 +03:00 [INF] Response Message: 1 numaralı kurs başarıyla getirildi., ErrorMessage: No error message
2025-01-04 00:22:23.010 +03:00 [INF] [Error] HTTP POST - 500: Error Message - An error occurred while saving the entity changes. See the inner exception for details. (in 195519.4924 ms.)
2025-01-04 00:22:23.011 +03:00 [INF] Response Message: 1 numaralı kurs başarıyla getirildi., ErrorMessage: No error message
2025-01-04 00:22:23.020 +03:00 [INF] Response Message: 1 numaralı kurs başarıyla getirildi., ErrorMessage: No error message
2025-01-04 00:24:42.245 +03:00 [INF] Response Message: No message, ErrorMessage: ["Sipariş oluşturulamadı. Geçersiz kullanıcı ID."]
2025-01-04 00:27:34.214 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 00:28:40.184 +03:00 [INF] Response Message: Başarıyla giriş yapıldı., ErrorMessage: No error message
2025-01-04 00:28:40.422 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 00:28:40.460 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 00:30:02.579 +03:00 [INF] Response Message: 1 numaralı kurs başarıyla getirildi., ErrorMessage: No error message
2025-01-04 00:30:02.605 +03:00 [INF] Response Message: 1 numaralı kurs başarıyla getirildi., ErrorMessage: No error message
2025-01-04 00:31:46.396 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 00:31:46.415 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 00:31:46.453 +03:00 [INF] Response Message: No message, ErrorMessage: ["Sipariş oluşturulamadı. Geçersiz kullanıcı ID."]
2025-01-04 00:34:15.214 +03:00 [INF] Response Message: Başarıyla giriş yapıldı., ErrorMessage: No error message
2025-01-04 00:36:47.954 +03:00 [INF] Response Message: Başarıyla giriş yapıldı., ErrorMessage: No error message
2025-01-04 00:37:00.134 +03:00 [INF] Response Message: Başarıyla giriş yapıldı., ErrorMessage: No error message
2025-01-04 00:37:45.931 +03:00 [INF] Response Message: Başarıyla giriş yapıldı., ErrorMessage: No error message
2025-01-04 00:38:18.432 +03:00 [INF] Response Message: Başarıyla giriş yapıldı., ErrorMessage: No error message
2025-01-04 00:38:18.583 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 00:38:18.600 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 00:49:47.245 +03:00 [INF] Response Message: Başarıyla giriş yapıldı., ErrorMessage: No error message
2025-01-04 00:50:59.115 +03:00 [INF] Response Message: Kullanıcı başarıyla güncellendi., ErrorMessage: No error message
2025-01-04 00:52:03.399 +03:00 [INF] Response Message: Başarıyla giriş yapıldı., ErrorMessage: No error message
2025-01-04 00:52:03.671 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 00:52:03.714 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 00:56:17.136 +03:00 [INF] Response Message: Başarıyla giriş yapıldı., ErrorMessage: No error message
2025-01-04 00:56:17.230 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 00:56:17.266 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 00:59:14.723 +03:00 [INF] Response Message: Başarıyla giriş yapıldı., ErrorMessage: No error message
2025-01-04 00:59:14.944 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 00:59:15.141 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 00:59:18.393 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 00:59:18.433 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 00:59:36.587 +03:00 [INF] Response Message: Başarıyla giriş yapıldı., ErrorMessage: No error message
2025-01-04 00:59:36.730 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 00:59:36.749 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 01:00:29.198 +03:00 [INF] Response Message: Başarıyla giriş yapıldı., ErrorMessage: No error message
2025-01-04 01:00:29.314 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 01:00:29.397 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 01:01:57.693 +03:00 [INF] Response Message: Başarıyla giriş yapıldı., ErrorMessage: No error message
2025-01-04 01:01:57.834 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 01:01:57.902 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 01:18:42.104 +03:00 [INF] Response Message: Başarıyla giriş yapıldı., ErrorMessage: No error message
2025-01-04 01:18:42.180 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 01:18:42.199 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 01:19:48.610 +03:00 [INF] Response Message: Başarıyla giriş yapıldı., ErrorMessage: No error message
2025-01-04 01:19:48.659 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 01:19:48.672 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 01:20:34.906 +03:00 [INF] Response Message: Başarıyla giriş yapıldı., ErrorMessage: No error message
2025-01-04 01:20:34.957 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 01:20:34.968 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 01:28:05.381 +03:00 [INF] Response Message: Başarıyla giriş yapıldı., ErrorMessage: No error message
2025-01-04 01:28:05.424 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 01:28:05.442 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 01:31:55.807 +03:00 [INF] Response Message: Başarıyla giriş yapıldı., ErrorMessage: No error message
2025-01-04 01:31:55.842 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 01:31:55.857 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 01:33:54.319 +03:00 [INF] Response Message: Başarıyla giriş yapıldı., ErrorMessage: No error message
2025-01-04 01:34:30.499 +03:00 [INF] Response Message: Kullanıcı başarıyla güncellendi., ErrorMessage: No error message
2025-01-04 01:34:44.274 +03:00 [INF] Response Message: Başarıyla giriş yapıldı., ErrorMessage: No error message
2025-01-04 01:34:44.437 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 01:34:44.446 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 01:36:00.264 +03:00 [INF] Response Message: Başarıyla giriş yapıldı., ErrorMessage: No error message
2025-01-04 01:36:00.334 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 01:36:00.352 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 01:43:35.495 +03:00 [INF] Response Message: Başarıyla giriş yapıldı., ErrorMessage: No error message
2025-01-04 01:43:35.538 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 01:43:35.552 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 01:48:28.782 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 01:48:28.789 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 01:49:10.923 +03:00 [INF] Response Message: Başarıyla giriş yapıldı., ErrorMessage: No error message
2025-01-04 01:49:11.036 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 01:49:11.051 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 01:54:16.540 +03:00 [INF] Response Message: Başarıyla giriş yapıldı., ErrorMessage: No error message
2025-01-04 01:54:16.612 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 01:54:16.660 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 02:00:06.630 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 02:00:06.637 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 02:00:23.875 +03:00 [INF] Response Message: Başarıyla giriş yapıldı., ErrorMessage: No error message
2025-01-04 02:00:23.919 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 02:00:23.928 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 02:07:44.834 +03:00 [INF] Response Message: Kullanıcı başarıyla bulundu., ErrorMessage: No error message
2025-01-04 02:09:18.149 +03:00 [INF] Response Message: Başarıyla giriş yapıldı., ErrorMessage: No error message
2025-01-04 02:10:17.423 +03:00 [INF] Response Message: Başarıyla giriş yapıldı., ErrorMessage: No error message
2025-01-04 02:10:17.566 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 02:10:17.596 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 02:12:29.770 +03:00 [INF] Response Message: Kullanıcı başarıyla bulundu., ErrorMessage: No error message
2025-01-04 02:12:29.781 +03:00 [INF] Response Message: Kullanıcı başarıyla bulundu., ErrorMessage: No error message
2025-01-04 02:15:11.762 +03:00 [INF] Response Message: Başarıyla giriş yapıldı., ErrorMessage: No error message
2025-01-04 02:15:11.862 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 02:15:11.878 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 02:15:27.553 +03:00 [INF] Response Message: Kullanıcı başarıyla bulundu., ErrorMessage: No error message
2025-01-04 02:15:27.562 +03:00 [INF] Response Message: Kullanıcı başarıyla bulundu., ErrorMessage: No error message
2025-01-04 02:17:00.310 +03:00 [INF] Response Message: Kullanıcı başarıyla bulundu., ErrorMessage: No error message
2025-01-04 02:17:00.325 +03:00 [INF] Response Message: Kullanıcı başarıyla bulundu., ErrorMessage: No error message
2025-01-04 02:17:13.979 +03:00 [INF] Response Message: Başarıyla giriş yapıldı., ErrorMessage: No error message
2025-01-04 02:17:14.043 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 02:17:14.067 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 02:17:42.181 +03:00 [INF] Response Message: Kullanıcı başarıyla bulundu., ErrorMessage: No error message
2025-01-04 02:17:42.198 +03:00 [INF] Response Message: Kullanıcı başarıyla bulundu., ErrorMessage: No error message
2025-01-04 02:20:10.645 +03:00 [INF] Response Message: Kullanıcı başarıyla bulundu., ErrorMessage: No error message
2025-01-04 02:20:20.641 +03:00 [INF] Response Message: Kullanıcı başarıyla bulundu., ErrorMessage: No error message
2025-01-04 02:37:50.694 +03:00 [INF] Response Message: Kullanıcı başarıyla bulundu., ErrorMessage: No error message
2025-01-04 02:38:15.077 +03:00 [INF] Response Message: Başarıyla giriş yapıldı., ErrorMessage: No error message
2025-01-04 02:38:15.217 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 02:38:15.239 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 02:39:34.791 +03:00 [INF] Response Message: Kullanıcı başarıyla bulundu., ErrorMessage: No error message
2025-01-04 02:39:34.817 +03:00 [INF] Response Message: Kullanıcı başarıyla bulundu., ErrorMessage: No error message
2025-01-04 02:42:36.653 +03:00 [INF] Response Message: Kullanıcı başarıyla bulundu., ErrorMessage: No error message
2025-01-04 02:48:22.342 +03:00 [INF] Response Message: Kullanıcı başarıyla bulundu., ErrorMessage: No error message
2025-01-04 02:48:22.358 +03:00 [INF] Response Message: Kullanıcı başarıyla bulundu., ErrorMessage: No error message
2025-01-04 02:51:05.266 +03:00 [INF] Response Message: Başarıyla giriş yapıldı., ErrorMessage: No error message
2025-01-04 02:51:05.557 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 02:51:05.570 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 02:51:21.942 +03:00 [INF] Response Message: Kullanıcı başarıyla bulundu., ErrorMessage: No error message
2025-01-04 02:51:21.999 +03:00 [INF] Response Message: Kullanıcı başarıyla bulundu., ErrorMessage: No error message
2025-01-04 02:54:59.373 +03:00 [INF] [Error] HTTP POST - 500: Error Message - No sign-in authentication handlers are registered. Did you forget to call AddAuthentication().AddCookie("Identity.Application",...)? (in 988.9401 ms.)
2025-01-04 02:57:11.064 +03:00 [INF] [Error] HTTP POST - 500: Error Message - No sign-in authentication handlers are registered. Did you forget to call AddAuthentication().AddCookie("Identity.Application",...)? (in 1045.9226 ms.)
2025-01-04 12:40:53.851 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 12:40:53.909 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 12:41:16.075 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 12:41:16.087 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 12:41:20.490 +03:00 [INF] Response Message: Başarıyla giriş yapıldı., ErrorMessage: No error message
2025-01-04 12:41:20.529 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 12:41:20.540 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 12:41:32.627 +03:00 [INF] Response Message: Kullanıcı başarıyla bulundu., ErrorMessage: No error message
2025-01-04 12:41:32.688 +03:00 [INF] Response Message: Kullanıcı başarıyla bulundu., ErrorMessage: No error message
2025-01-04 12:51:29.825 +03:00 [INF] Response Message: Başarıyla giriş yapıldı., ErrorMessage: No error message
2025-01-04 12:51:29.954 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 12:51:29.963 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 12:51:52.920 +03:00 [INF] Response Message: Kullanıcı başarıyla bulundu., ErrorMessage: No error message
2025-01-04 12:51:52.929 +03:00 [INF] Response Message: Kullanıcı başarıyla bulundu., ErrorMessage: No error message
2025-01-04 12:56:48.566 +03:00 [INF] Response Message: Başarıyla giriş yapıldı., ErrorMessage: No error message
2025-01-04 12:56:48.716 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 12:56:48.757 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 12:56:57.080 +03:00 [INF] Response Message: Kullanıcı başarıyla bulundu., ErrorMessage: No error message
2025-01-04 12:56:57.137 +03:00 [INF] Response Message: Kullanıcı başarıyla bulundu., ErrorMessage: No error message
2025-01-04 13:11:19.630 +03:00 [INF] Response Message: Başarıyla giriş yapıldı., ErrorMessage: No error message
2025-01-04 13:11:19.812 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 13:11:19.825 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 13:11:28.180 +03:00 [INF] Response Message: Kullanıcı başarıyla bulundu., ErrorMessage: No error message
2025-01-04 13:11:28.252 +03:00 [INF] Response Message: Kullanıcı başarıyla bulundu., ErrorMessage: No error message
2025-01-04 13:12:19.493 +03:00 [INF] Response Message: No message, ErrorMessage: No error message
2025-01-04 13:12:26.448 +03:00 [INF] Response Message: Başarıyla giriş yapıldı., ErrorMessage: No error message
2025-01-04 13:12:26.505 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 13:12:26.536 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 13:12:33.482 +03:00 [INF] Response Message: Kullanıcı başarıyla bulundu., ErrorMessage: No error message
2025-01-04 13:12:33.501 +03:00 [INF] Response Message: Kullanıcı başarıyla bulundu., ErrorMessage: No error message
2025-01-04 13:16:00.929 +03:00 [INF] Response Message: No message, ErrorMessage: No error message
2025-01-04 13:16:12.890 +03:00 [INF] Response Message: Başarıyla giriş yapıldı., ErrorMessage: No error message
2025-01-04 13:16:12.946 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 13:16:12.964 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 13:16:37.945 +03:00 [INF] Response Message: Başarıyla giriş yapıldı., ErrorMessage: No error message
2025-01-04 13:16:37.981 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 13:16:37.993 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 13:16:48.919 +03:00 [INF] Response Message: Başarıyla giriş yapıldı., ErrorMessage: No error message
2025-01-04 13:16:48.981 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 13:16:49.002 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 13:18:17.362 +03:00 [INF] Response Message: Başarıyla giriş yapıldı., ErrorMessage: No error message
2025-01-04 13:18:17.548 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 13:18:17.579 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 13:18:25.133 +03:00 [INF] Response Message: Kullanıcı başarıyla bulundu., ErrorMessage: No error message
2025-01-04 13:18:25.165 +03:00 [INF] Response Message: Kullanıcı başarıyla bulundu., ErrorMessage: No error message
2025-01-04 13:19:24.368 +03:00 [INF] Response Message: Kullanıcı başarıyla güncellendi., ErrorMessage: No error message
2025-01-04 13:19:34.184 +03:00 [INF] Response Message: Kullanıcı başarıyla bulundu., ErrorMessage: No error message
2025-01-04 13:19:34.272 +03:00 [INF] Response Message: Kullanıcı başarıyla bulundu., ErrorMessage: No error message
2025-01-04 13:20:11.225 +03:00 [INF] Response Message: Kullanıcı başarıyla güncellendi., ErrorMessage: No error message
2025-01-04 13:22:22.291 +03:00 [INF] Response Message: Kullanıcı başarıyla güncellendi., ErrorMessage: No error message
2025-01-04 13:22:50.654 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 13:22:50.670 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 13:22:54.595 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 13:22:54.650 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
2025-01-04 13:22:54.720 +03:00 [INF] Response Message: Kullanıcı başarıyla bulundu., ErrorMessage: No error message
2025-01-04 13:22:54.720 +03:00 [INF] Response Message: Kullanıcı başarıyla bulundu., ErrorMessage: No error message
2025-01-04 13:22:55.589 +03:00 [INF] Response Message: 1 numaralı kurs başarıyla getirildi., ErrorMessage: No error message
2025-01-04 13:22:55.606 +03:00 [INF] Response Message: 1 numaralı kurs başarıyla getirildi., ErrorMessage: No error message
2025-01-04 13:23:17.468 +03:00 [INF] [Error] HTTP POST - 500: Error Message - An error occurred while saving the entity changes. See the inner exception for details. (in 9749.738 ms.)
2025-01-04 13:25:12.851 +03:00 [INF] [Error] HTTP POST - 500: Error Message - An error occurred while saving the entity changes. See the inner exception for details. (in 46242.8216 ms.)
2025-01-04 13:26:20.025 +03:00 [INF] [Error] HTTP POST - 500: Error Message - An error occurred while saving the entity changes. See the inner exception for details. (in 10719.6495 ms.)
2025-01-04 13:49:58.614 +03:00 [INF] Response Message: Kullanıcı başarıyla kaydedildi., ErrorMessage: No error message
2025-01-04 13:50:11.175 +03:00 [INF] Response Message: Başarıyla giriş yapıldı., ErrorMessage: No error message
2025-01-04 13:50:11.255 +03:00 [INF] Response Message: Kurslar başarıyla getirildi., ErrorMessage: No error message
